NO.1,NO.2,NO.3,NDX
126.259,136.233,133.088,136.233
123.313,133.055,129.909,133.055
119.192,128.608,125.717,128.608
117.507,126.791,124.162,126.791
118.343,127.692,125.32,127.692
121.228,130.805,128.558,130.805
126.731,136.743,134.526,136.743
132.289,142.741,140.593,142.741
139.941,150.997,149.131,150.997
141.95,153.165,151.466,153.165
145.109,156.573,154.523,156.573
144.759,156.195,153.673,156.195
141.531,152.713,149.849,152.713
133.288,143.818,140.72,143.818
127.683,137.77,134.54,137.77
126.829,136.849,133.465,136.849
135.163,145.842,142.383,145.842
155.436,167.715,164.093,167.715
157.85,170.321,167.029,170.321
156.84,169.23,165.945,169.23
153.354,165.47,162.126,165.47
146.976,158.587,155.197,158.587
137.713,148.592,145.018,148.592
128.023,138.138,134.36,138.138
123.452,133.206,129.356,133.206
122.307,131.97,127.985,131.97
122.181,131.833,127.9,131.833
123.402,133.152,129.137,133.152
125.753,135.687,131.714,135.687
136.545,147.333,143.025,147.333
148.228,159.938,155.296,159.938
162.001,174.799,169.714,174.799
170.452,183.919,178.553,183.919
177.574,191.603,185.717,191.603
177.483,191.504,185.481,191.504
175.004,188.829,182.652,188.829
170.23,183.679,177.346,183.679
164.954,177.986,171.757,177.986
158.348,170.858,165.004,170.858
152.831,164.906,159.076,164.906
157.929,170.406,164.546,170.406
172.99,186.656,181.183,186.656
173.428,187.129,182.141,187.129
170.181,183.625,178.791,183.625
166.181,179.31,174.563,179.31
158.356,170.867,166.209,170.867
148.42,160.145,155.58,160.145
138.5,149.442,144.824,149.442
130.182,140.467,135.832,140.467
124.364,134.189,129.717,134.189
123.6,133.364,128.887,133.364
120.988,130.546,126.234,130.546
123.705,133.478,129.022,133.478
127.443,137.511,133.044,137.511
134.807,145.457,140.902,145.457
144.073,155.456,151.04,155.456
152.595,164.651,160.499,164.651
158.025,170.51,165.966,170.51
157.332,169.762,165.048,169.762
153.931,166.091,161.086,166.091
146.908,158.514,153.515,158.514
140.61,151.719,146.731,151.719
135.56,146.269,141.227,146.269
133.765,144.333,139.341,144.333
138.726,149.686,144.866,149.686
150.984,162.912,158.19,162.912
152.345,164.38,160.026,164.38
147.845,159.526,155.212,159.526
144.511,155.928,151.449,155.928
138.388,149.321,144.783,149.321
129.705,139.951,135.404,139.951
119.263,128.685,124.183,128.685
108.757,117.349,112.912,117.349
105.143,113.45,108.978,113.45
103.2,111.353,106.897,111.353
101.196,109.191,104.86,109.191
102.319,110.403,105.951,110.403
103.599,111.784,107.414,111.784
110.289,119.002,114.449,119.002
120.205,129.701,125.231,129.701
130.892,141.232,137.091,141.232
140.253,151.333,147.104,151.333
139.085,150.072,145.666,150.072
137.948,148.846,144.249,148.846
139.817,150.862,145.924,150.862
137.767,148.651,143.676,148.651
139.2,150.198,144.951,150.198
141.458,152.633,147.298,152.633
150.109,161.967,156.525,161.967
161.203,173.938,168.813,173.938
162.475,175.311,170.52,175.311
159.557,172.162,167.255,172.162
156.811,169.199,164.056,169.199
151.444,163.409,157.71,163.409
140.255,151.335,145.596,151.335
129.636,139.877,134.173,139.877
125.411,135.318,129.493,135.318
123.713,133.486,127.63,133.486
124.282,134.101,128.286,134.101
127.951,138.06,132.237,138.06
131.728,142.135,136.488,142.135
147.578,159.236,153.298,159.236
172.545,186.177,179.759,186.177
184.501,199.077,191.699,199.077
182.812,197.255,189.608,197.255
181.902,196.273,188.735,196.273
183.471,197.965,190.366,197.965
179.722,193.921,186.468,193.921
179.073,193.22,185.786,193.22
177.942,191.999,184.498,191.999
174.631,188.427,181.115,188.427
174.394,188.172,180.99,188.172
178.327,192.415,185.692,192.415
193.039,208.289,201.541,208.289
197.924,213.561,206.977,213.561
196.714,212.254,205.767,212.254
192.134,207.314,200.838,207.314
184.391,198.959,192.383,198.959
171.979,185.566,179.008,185.566
159.349,171.937,165.664,171.937
153.656,165.796,159.44,165.796
