three,four,five,NDX
272.45,273.25,271.35,273.55
272.05,273.95,270.55,273.75
272.05,273.65,270.55,273.35
271.75,273.55,274.95,272.15
271.15,275.65,272.25,271.65
270.95,274.75,269.95,270.45
270.55,273.85,271.25,269.35
271.55,275.85,271.15,269.05
273.25,277.95,273.05,271.45
274.35,280.65,277.35,273.25
275.05,281.55,279.15,275.15
276.05,282.85,280.75,276.85
277.05,283.65,281.85,278.65
278.45,284.95,282.95,280.85
279.15,285.55,284.05,282.15
279.35,285.65,284.65,283.15
279.05,283.75,284.65,283.55
277.45,282.45,284.55,283.25
276.25,281.25,283.45,282.15
275.45,280.75,282.45,280.55
274.85,279.55,281.55,279.95
273.75,278.95,279.15,277.55
274.05,278.25,279.65,278.35
272.95,275.75,279.75,275.75
272.75,273.75,278.55,273.95
272.15,275.05,274.85,273.75
271.65,273.55,273.15,272.65
271.75,272.85,271.65,272.05
271.65,272.35,271.15,272.05
271.35,272.05,271.05,271.45
270.65,272.15,271.95,271.25
271.45,272.95,270.45,271.05
272.75,274.25,273.15,273.65
273.75,275.45,276.15,277.85
274.85,277.95,279.05,280.45
275.35,279.75,281.55,283.55
275.85,281.55,284.05,286.15
276.45,282.75,286.45,289.35
276.95,284.15,287.05,291.45
277.05,284.15,287.15,291.95
276.65,283.55,287.15,291.75
275.35,282.15,285.95,291.05
274.35,280.85,285.25,289.25
274.65,280.05,283.65,287.85
274.35,278.65,282.65,285.65
273.75,276.45,281.65,284.75
272.55,277.85,281.05,281.05
272.35,274.65,280.65,279.65
271.75,275.85,280.15,283.65
271.15,275.25,279.85,283.75
270.35,274.45,278.25,278.35
270.55,272.95,277.05,277.55
268.85,271.45,276.45,277.15
267.55,270.95,275.45,276.55
267.35,270.85,274.35,275.45
270.05,272.05,272.55,276.15
273.85,275.45,271.05,276.85
276.65,276.25,270.85,277.85
279.65,275.95,272.05,280.45
284.55,276.25,272.75,282.65
286.95,276.65,273.85,283.75
289.15,276.45,275.05,285.05
289.85,276.35,275.85,285.95
290.05,276.35,276.55,286.75
289.55,276.35,276.65,287.05
286.25,276.15,276.05,286.45
281.85,276.05,275.35,284.25
285.35,275.75,274.65,281.75
284.85,275.55,274.25,279.85
278.45,275.35,273.85,278.65
276.25,275.85,273.35,278.15
278.35,276.05,272.95,278.15
280.85,275.85,272.65,277.65
281.35,275.35,272.55,277.35
281.25,275.05,272.15,279.85
280.35,275.15,271.35,277.85
279.15,276.95,271.25,276.45
275.85,275.45,270.55,275.15
276.95,271.65,270.15,275.35
279.65,274.75,270.45,276.15
282.15,279.15,271.85,277.85
283.75,279.95,273.15,278.45
